,Building ID,Market,profit
569,Bldg-116481,Dallas,-2535.9299999999985
251,Bldg-068834,Atlanta,-869.45
834,Bldg-129259,Dallas,-535.01
833,Bldg-129225,Dallas,-412.84000000000015
1252,Bldg-223929,Denver,-55.32
1398,Bldg-430316,Dallas,-29.710000000000036
684,Bldg-116686,Denver,0.0
1210,Bldg-156228,Dallas,0.0
310,Bldg-086944,Denver,0.0
1228,Bldg-156335,Dallas,0.0
742,Bldg-118377,Dallas,0.0
405,Bldg-110217,Denver,0.0
1387,Bldg-390897,Atlanta,0.0
1253,Bldg-224452,Dallas,0.0
392,Bldg-109477,Atlanta,0.0
377,Bldg-109151,Dallas,0.0
1306,Bldg-384608,Atlanta,0.0
1291,Bldg-361118,Dallas,0.0
215,Bldg-061716,Atlanta,0.0
127,Bldg-038263,Atlanta,0.0
719,Bldg-117685,Atlanta,0.0
276,Bldg-075721,Atlanta,0.0
201,Bldg-060304,Atlanta,0.0
361,Bldg-108686,Denver,0.0
285,Bldg-078777,Atlanta,0.0
1290,Bldg-359461,Dallas,0.0
112,Bldg-038199,Atlanta,0.0
820,Bldg-125353,Dallas,0.0
330,Bldg-090924,Atlanta,0.0
147,Bldg-045200,Atlanta,0.0
1393,Bldg-424270,Dallas,0.0
441,Bldg-113640,Denver,0.0
870,Bldg-132408,Atlanta,0.0
1122,Bldg-155828,Dallas,0.0
746,Bldg-118397,Dallas,0.0
1098,Bldg-147669,Atlanta,0.0
1144,Bldg-155874,Dallas,0.0
1152,Bldg-155962,Dallas,0.0
1120,Bldg-155816,Dallas,0.0
1099,Bldg-147800,Denver,0.0
1155,Bldg-156001,Dallas,0.0
1159,Bldg-156027,Dallas,0.0
1160,Bldg-156031,Dallas,0.0
141,Bldg-038296,Atlanta,0.0
1154,Bldg-155976,Dallas,0.0
1543,Bldg-489868,Atlanta,0.28
1493,Bldg-489749,Atlanta,0.55
1558,Bldg-489923,Atlanta,0.83
1504,Bldg-489767,Atlanta,0.83
1541,Bldg-489865,Atlanta,0.83
1468,Bldg-489685,Atlanta,0.83
1499,Bldg-489757,Atlanta,0.83
1588,Bldg-490069,Atlanta,1.11
1518,Bldg-489805,Atlanta,1.11
1467,Bldg-489684,Atlanta,1.11
1434,Bldg-489614,Atlanta,1.38
1581,Bldg-490014,Atlanta,1.67
1554,Bldg-489904,Atlanta,1.67
1431,Bldg-489609,Atlanta,1.67
1486,Bldg-489724,Atlanta,1.67
1561,Bldg-489933,Atlanta,1.67
1538,Bldg-489859,Atlanta,1.67
1514,Bldg-489797,Atlanta,1.95
1549,Bldg-489890,Atlanta,1.95
