,Building ID,total_mrr,netx_mrc,Market,Street Address,City,State,Postal Code,Latitude,Longitude,On Zayo Network Status,Net Classification,Type,Network Proximity, Estimated Build Cost ,est_cost,b_id
0,Bldg-011543,17985.229999999996,5229.58,Denver,11011 E Peakview Ave,Englewood,CO,80111,39.598945,-104.86033799999998,On Zayo Network,Fiber Only,Office - Multi Tenant,257.74," $23,998.30 ",23998.3,Bldg-011543
1,Bldg-012582,867130.0199999986,90710.12000000013,Atlanta,56 Marietta St NW,Atlanta,GA,30303,33.755431,-84.391561,On Zayo Network,On-Net,Carrier Hotel,66.45," $11,993.50 ",11993.5,Bldg-012582
2,Bldg-014141,43706.990000000005,7040.24,Denver,4300 Brighton Blvd,Denver,CO,80216,39.777368,-104.968254,On Zayo Network,Fiber Only,Neutral Data Center,247.0," $23,515.00 ",23515.0,Bldg-014141
3,Bldg-014142,447338.0600000003,23280.499999999975,Denver,1500 Champa St,Denver,CO,80202,39.74576,-104.994423,On Zayo Network,On-Net,Neutral Data Center,71.8," $15,631.00 ",15631.0,Bldg-014142
4,Bldg-014640,13662.280000000002,461.0,Dallas,3180 Irving Blvd,Dallas,TX,75247,32.807183,-96.868566,On Zayo Network,Restricted,Carrier POP,297.58," $29,854.80 ",29854.8,Bldg-014640
5,Bldg-014863,1011.86,0.0,Atlanta,55 Park Pl NE,Atlanta,GA,30303,33.7559784,-84.3871857,On Zayo Network,Fiber Only,Office - Multi Tenant,120.14," $13,604.20 ",13604.2,Bldg-014863
6,Bldg-014864,93767.14000000009,1904.5400000000002,Atlanta,250 Williams St NW,Atlanta,GA,30303,33.7616219,-84.3911416,On Zayo Network,On-Net,Neutral Data Center,280.06," $18,401.80 ",18401.8,Bldg-014864
7,Bldg-014866,1428178.0300000103,145305.30000000028,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,32.800805,-96.819612,On Zayo Network,On-Net,Carrier Hotel,239.8," $26,388.00 ",26388.0,Bldg-014866
8,Bldg-014932,5150.14,0.0,Denver,12396 Grant St,Thornton,CO,80241,39.922452,-104.98323400000001,On Zayo Network,Fiber Only,Office - Single Tenant,132.44," $18,359.80 ",18359.8,Bldg-014932
9,Bldg-015126,23142.22,0.0,Dallas,4211 Irving Ave,Dallas,TX,75219,32.816587,-96.8034159,On Zayo Network,Restricted,ILEC Central Office,110.73," $18,643.80 ",18643.8,Bldg-015126
10,Bldg-015161,20942.22,276.6,Dallas,400 S Akard St,Dallas,TX,75202,32.778334,-96.79855,On Zayo Network,Fiber Only,Carrier Hotel,80.14," $16,808.40 ",16808.4,Bldg-015161
11,Bldg-015164,11637.56,0.0,Dallas,4211 Bryan St,Dallas,TX,75204,32.79903,-96.7806839,Not on Zayo Network,Stubbed,ILEC Central Office,266.75," $28,005.00 ",28005.0,Bldg-015164
12,Bldg-015167,12555.61,463.31,Denver,931 14th St,Denver,CO,80202,39.745857,-104.996067,On Zayo Network,Restricted,ILEC Central Office,95.03," $16,676.35 ",16676.35,Bldg-015167
13,Bldg-015168,85692.73000000003,15078.36,Denver,1850 Pearl St,Denver,CO,80203,39.745886,-104.97949960000001,On Zayo Network,On-Net,Neutral Data Center,103.07," $17,038.15 ",17038.15,Bldg-015168
14,Bldg-015169,9762.199999999999,520.93,Denver,1425 Champa St,Denver,CO,80202,39.745214000000004,-104.996223,On Zayo Network,On-Net,Carrier POP,148.72," $19,092.40 ",19092.4,Bldg-015169
15,Bldg-015180,36880.0,0.0,Denver,9603 S Meridian Blvd,Englewood,CO,80112,39.544658,-104.856202,On Zayo Network,Fiber Only,Retail - Single Tenant,783.02," $35,890.60 ",35890.6,Bldg-015180
